valeur_reelle,prediction,erreur,erreur_pourcentage
367638.0,356539.14,11098.859999999986,3.0189643072805272
380828.0,453146.03,-72318.03000000003,-18.989683006501632
376619.0,416238.89,-39619.890000000014,-10.519886144883825
493209.0,451077.78,42131.21999999997,8.542265043825228
385926.0,456867.55,-70941.54999999999,-18.382163938164307
372880.0,388683.19,-15803.190000000002,-4.238143638704141
379182.0,422013.2,-42831.20000000001,-11.295683866850222
407988.0,415713.72,-7725.719999999972,-1.8936145180740542
599246.0,431366.57,167879.43,28.015110655724023
471687.0,471046.47,640.5300000000279,0.13579555934338405
349979.0,362785.34,-12806.340000000026,-3.6591738361444617
373797.0,454890.0,-81093.0,-21.69439562115266
393693.0,454668.03,-60975.03000000003,-15.487963971927371
379154.0,380374.71,-1220.710000000021,-0.3219562499670374
411015.0,411097.84,-82.84000000002561,-0.020154982178272232
382227.0,373921.27,8305.729999999981,2.17298359351903
546219.0,485472.33,60746.669999999984,11.121302993854112
430649.0,427629.58,3019.4199999999837,0.701132476796645
331141.0,398750.5,-67609.5,-20.417133486943627
351635.0,386294.63,-34659.630000000005,-9.85670652807599
417591.0,412905.45,4685.549999999988,1.122042860119109
348590.0,374781.09,-26191.090000000026,-7.513436989012888
391220.0,399465.89,-8245.890000000014,-2.1077373344921053
399079.0,398973.17,105.8300000000163,0.02651855898206027
546975.0,524464.69,22510.310000000056,4.115418437771389
451020.0,421259.23,29760.77000000002,6.598547736242299
369846.0,345215.29,24630.71000000002,6.659720532329678
384365.0,406289.13,-21924.130000000005,-5.703987095599236
409103.0,399867.59,9235.409999999974,2.2574779456518224
375623.0,380387.77,-4764.770000000019,-1.268497935429944
469574.0,470160.67,-586.6699999999837,-0.12493664470349375
388844.0,410972.86,-22128.859999999986,-5.69093518223246
428329.0,459364.18,-31035.179999999993,-7.245640617375894
388811.0,446369.49,-57558.48999999999,-14.803719544971718
459038.0,403952.08,55085.919999999984,12.000296271768347
367673.0,371118.36,-3445.359999999986,-0.9370718002137731
419355.0,409292.38,10062.619999999995,2.3995469232511826
388793.0,405665.53,-16872.530000000028,-4.339720622542079
509076.0,531439.52,-22363.52000000002,-4.392962936771724
444559.0,446088.78,-1529.780000000028,-0.34411180518222056
383681.0,377462.87,6218.130000000005,1.6206510095626327
449771.0,472624.11,-22853.109999999986,-5.08105458110905
401914.0,439929.55,-38015.54999999999,-9.45862796518658
432740.0,451415.46,-18675.46000000002,-4.315630632712488
401023.0,393908.46,7114.539999999979,1.7740977450171134
386481.0,408605.52,-22124.52000000002,-5.72460741925218
470827.0,442294.69,28532.309999999998,6.060041161615625
490276.0,472760.31,17515.690000000002,3.572618280315578
508429.0,526819.31,-18390.310000000056,-3.6170851780681383
360913.0,405422.38,-44509.380000000005,-12.332440227977381
398532.0,398753.78,-221.78000000002794,-0.055649232683957106
424556.0,423941.6,614.4000000000233,0.14471589142540048
415636.0,445502.66,-29866.659999999974,-7.18577312841043
580184.0,502821.47,77362.53000000003,13.334137101333374
429118.0,440780.53,-11662.530000000028,-2.7177909106586133
389038.0,387307.9,1730.0999999999767,0.4447123417249669
395936.0,392495.6,3440.4000000000233,0.8689283116463326
428487.0,436229.17,-7742.169999999984,-1.8068622852035148
380936.0,403001.56,-22065.559999999998,-5.792458575718755
506661.0,520605.41,-13944.409999999974,-2.7522169655844784
480253.0,471092.39,9160.609999999986,1.9074550289118415
386717.0,461662.36,-74945.35999999999,-19.37989796155845
404164.0,404469.46,-305.46000000002095,-0.07557823061925875
436667.0,454391.71,-17724.71000000002,-4.059090794587184
392972.0,440976.32,-48004.32000000001,-12.215710025141743
377039.0,387871.47,-10832.469999999972,-2.8730370067817845
404325.0,399006.45,5318.549999999988,1.3154145798553114
467951.0,408342.64,59608.359999999986,12.738162756356965
362388.0,393656.98,-31268.97999999998,-8.628591454463166
387034.0,371869.31,15164.690000000002,3.918180314907735
385975.0,419799.43,-33824.42999999999,-8.763373275471208
396728.0,401756.5,-5028.5,-1.2674930935048698
436817.0,398157.68,38659.32000000001,8.850232477215862
401260.0,409992.5,-8732.5,-2.1762697502865973
603756.0,521519.48,82236.52000000002,13.620820331392155
406954.0,408705.42,-1751.4199999999837,-0.4303729659863237
488483.0,477076.56,11406.440000000002,2.3350740967444112
433541.0,432809.65,731.3499999999767,0.16869223441381018
365828.0,419456.91,-53628.909999999974,-14.659596859726424
448043.0,446455.76,1587.2399999999907,0.3542606401617681
389661.0,413483.97,-23822.969999999972,-6.113768121521007
525438.0,483567.0,41871.0,7.968780331837438
410258.0,399647.62,10610.380000000005,2.5862701032033515
399850.0,453679.28,-53829.28000000003,-13.462368388145563
432263.0,431517.16,745.8400000000256,0.17254310454515553
466724.0,466844.76,-120.76000000000931,-0.02587396405584656
398767.0,381615.62,17151.380000000005,4.301103150461298
397555.0,409917.84,-12362.840000000026,-3.1097181522053616
430211.0,375965.33,54245.669999999984,12.609084844413552
455092.0,453590.01,1501.9899999999907,0.3300409587511955
593663.0,483578.68,110084.32,18.543234124410652
308035.0,348584.43,-40549.42999999999,-13.163903452529743
